year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2021,MU,1346,39,44,-5,0.02897473997028232,0.03268945022288262,-0.003714710252600297
2022,MU,1436,55,40,15,0.0383008356545961,0.027855153203342618,0.010445682451253482
2023,MU,1408,53,64,-11,0.037642045454545456,0.045454545454545456,-0.0078125
2024,MU,1058,54,63,-9,0.05103969754253308,0.05954631379962193,-0.008506616257088847
2025,MU,623,94,78,16,0.1508828250401284,0.12520064205457465,0.025682182985553772
1998,MV,24,0,0,0,0.0,0.0,0.0
1999,MV,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
2000,MV,40,3,0,3,0.075,0.0,0.075
2001,MV,75,6,2,4,0.08,0.02666666666666667,0.05333333333333334
2002,MV,83,0,8,-8,0.0,0.0963855421686747,-0.0963855421686747
2003,MV,148,26,5,21,0.17567567567567569,0.033783783783783786,0.14189189189189189
2004,MV,188,44,15,29,0.23404255319148937,0.0797872340425532,0.15425531914893617
2005,MV,204,51,31,20,0.25,0.15196078431372548,0.09803921568627451
2006,MV,225,66,41,25,0.29333333333333333,0.18222222222222223,0.1111111111111111
2007,MV,232,51,45,6,0.21982758620689655,0.1939655172413793,0.02586206896551724
2008,MV,235,66,45,21,0.28085106382978725,0.19148936170212766,0.08936170212765958
2009,MV,229,57,63,-6,0.24890829694323144,0.27510917030567683,-0.026200873362445413
2010,MV,232,40,62,-22,0.1724137931034483,0.2672413793103448,-0.09482758620689655
2011,MV,241,62,47,15,0.2572614107883817,0.1950207468879668,0.06224066390041494
2012,MV,231,67,57,10,0.29004329004329005,0.24675324675324675,0.04329004329004329
2013,MV,179,28,107,-79,0.1564245810055866,0.5977653631284916,-0.441340782122905
2014,MV,175,29,74,-45,0.1657142857142857,0.4228571428571429,-0.2571428571428571
2015,MV,203,27,44,-17,0.1330049261083744,0.21674876847290642,-0.08374384236453201
2016,MV,207,35,42,-7,0.16908212560386474,0.2028985507246377,-0.033816425120772944
2017,MV,225,35,41,-6,0.15555555555555556,0.18222222222222223,-0.02666666666666667
2018,MV,296,42,49,-7,0.14189189189189189,0.16554054054054054,-0.02364864864864865
2019,MV,394,38,57,-19,0.09644670050761421,0.1446700507614213,-0.048223350253807105
2020,MV,508,79,45,34,0.15551181102362205,0.08858267716535433,0.06692913385826772
2021,MV,520,55,55,0,0.10576923076923077,0.10576923076923077,0.0
2022,MV,611,63,57,6,0.10310965630114566,0.09328968903436989,0.009819967266775777
2023,MV,820,94,66,28,0.11463414634146342,0.08048780487804878,0.03414634146341464
2024,MV,698,91,82,9,0.1303724928366762,0.1174785100286533,0.012893982808022923
2025,MV,506,163,92,71,0.3221343873517787,0.18181818181818182,0.14031620553359683
1998,MW,268,0,0,0,0.0,0.0,0.0
1999,MW,370,14,19,-5,0.03783783783783784,0.051351351351351354,-0.013513513513513514
2000,MW,498,17,13,4,0.03413654618473896,0.02610441767068273,0.008032128514056224
2001,MW,573,30,23,7,0.05235602094240838,0.04013961605584642,0.012216404886561954
2002,MW,569,20,33,-13,0.0351493848857645,0.05799648506151142,-0.022847100175746926
2003,MW,600,35,29,6,0.058333333333333334,0.04833333333333333,0.01
