year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2005,MS,27,13,4,9,0.48148148148148145,0.14814814814814814,0.3333333333333333
2006,MS,7,2,13,-11,0.2857142857142857,1.8571428571428572,-1.5714285714285714
2007,MS,16,5,7,-2,0.3125,0.4375,-0.125
2008,MS,13,3,5,-2,0.23076923076923078,0.38461538461538464,-0.15384615384615385
2009,MS,9,2,3,-1,0.2222222222222222,0.3333333333333333,-0.1111111111111111
2010,MS,11,2,4,-2,0.18181818181818182,0.36363636363636365,-0.18181818181818182
2011,MS,7,3,3,0,0.42857142857142855,0.42857142857142855,0.0
2012,MS,18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222
2013,MS,20,6,6,0,0.3,0.3,0.0
2014,MS,24,5,4,1,0.20833333333333334,0.16666666666666666,0.041666666666666664
2015,MS,24,3,6,-3,0.125,0.25,-0.125
2016,MS,17,3,4,-1,0.17647058823529413,0.23529411764705882,-0.058823529411764705
2017,MS,36,9,6,3,0.25,0.16666666666666666,0.08333333333333333
2018,MS,29,3,11,-8,0.10344827586206896,0.3793103448275862,-0.27586206896551724
2019,MS,19,3,9,-6,0.15789473684210525,0.47368421052631576,-0.3157894736842105
2020,MS,29,11,7,4,0.3793103448275862,0.2413793103448276,0.13793103448275862
2021,MS,40,5,5,0,0.125,0.125,0.0
2022,MS,51,11,7,4,0.21568627450980393,0.13725490196078433,0.0784313725490196
2023,MS,23,8,12,-4,0.34782608695652173,0.5217391304347826,-0.17391304347826086
2024,MS,19,6,11,-5,0.3157894736842105,0.5789473684210527,-0.2631578947368421
2025,MS,19,3,13,-10,0.15789473684210525,0.6842105263157895,-0.5263157894736842
1998,MT,127,0,0,0,0.0,0.0,0.0
1999,MT,128,12,11,1,0.09375,0.0859375,0.0078125
2000,MT,132,24,23,1,0.18181818181818182,0.17424242424242425,0.007575757575757576
2001,MT,131,27,29,-2,0.20610687022900764,0.22137404580152673,-0.015267175572519083
2002,MT,168,28,36,-8,0.16666666666666666,0.21428571428571427,-0.047619047619047616
2003,MT,175,24,30,-6,0.13714285714285715,0.17142857142857143,-0.03428571428571429
2004,MT,152,27,36,-9,0.17763157894736842,0.23684210526315788,-0.05921052631578947
2005,MT,210,41,42,-1,0.19523809523809524,0.2,-0.004761904761904762
2006,MT,191,36,47,-11,0.18848167539267016,0.24607329842931938,-0.05759162303664921
2007,MT,228,51,61,-10,0.2236842105263158,0.2675438596491228,-0.043859649122807015
2008,MT,288,52,51,1,0.18055555555555555,0.17708333333333334,0.003472222222222222
2009,MT,307,73,40,33,0.23778501628664495,0.13029315960912052,0.10749185667752444
2010,MT,353,62,64,-2,0.17563739376770537,0.1813031161473088,-0.0056657223796034
2011,MT,416,82,61,21,0.1971153846153846,0.1466346153846154,0.05048076923076923
2012,MT,538,92,77,15,0.17100371747211895,0.14312267657992564,0.027881040892193308
2013,MT,585,89,74,15,0.15213675213675212,0.1264957264957265,0.02564102564102564
2014,MT,732,117,72,45,0.1598360655737705,0.09836065573770492,0.06147540983606557
2015,MT,720,102,85,17,0.14166666666666666,0.11805555555555555,0.02361111111111111
2016,MT,908,128,97,31,0.14096916299559473,0.10682819383259912,0.034140969162995596
2017,MT,1013,144,125,19,0.14215202369200394,0.12339585389930899,0.018756169792694965
2018,MT,1111,186,133,53,0.16741674167416742,0.11971197119711971,0.04770477047704771
2019,MT,1155,161,146,15,0.1393939393939394,0.1264069264069264,0.012987012987012988
2020,MT,1219,166,145,21,0.1361771944216571,0.11894995898277276,0.017227235438884332
2021,MT,1403,171,159,12,0.12188168210976479,0.11332858161083392,0.008553100498930863
2022,MT,1631,183,154,29,0.11220110361741263,0.0944206008583691,0.017780502759043533
2023,MT,1536,201,173,28,0.130859375,0.11263020833333333,0.018229166666666668
